data,context,code
the answer to this question is a simple fact ,the answer to this question is a simple fact ,LOW
How old is Brigitte Macron?,How old is Brigitte Macron?,LOW
What is this text about ?,What is this text about ?,LOW
What is his name is the robot that says before changing the subject you can ask one last question the one you want?,What is his name is the robot that says before changing the subject you can ask one last question the one you want?,LOW
Are there volcanoes in France?,Are there volcanoes in France?,LOW
Why were dinosaurs so big?,Why were dinosaurs so big?,HIGH
Why should we keep the bodies as intact as possible?,Why should we keep the bodies as intact as possible?,HIGH
What would happen on earth the sun did not exist?; how long after the inflating the thunder arrives?;what the robots do not fly,What would happen on earth the sun did not exist?; how long after the inflating the thunder arrives?;what the robots do not fly,HIGH
how long after the inflating the thunder arrives?,how long after the inflating the thunder arrives?,HIGH
what the robots do not fly,what the robots do not fly,HIGH
